objectid,gis_key,address
"38733","182-52","16 A&B CENTRAL ST"
"38943","190-68","13 & 15 PORTER AVE"
"39003","190-133","41 A&B RIVERSIDE DR"
"39095","190-102","14 A&B  WATERSEDGE DR"
"39119","190-116","14 A&B GILLIS ST"
"39120","190-117","15 A&B GILLIS ST"
"39121","190-118","13 A&B GILLIS ST"
"39234","165-100","17 A&B HILL ST"
"39274"," ","HIGHLAND ST"
"39275"," ","HIGHLAND ST OFF"
"39655","160-93","146 A&B BARRETTS HILL RD"
"39656","149-3","10 A&B SUNSHINE DR"
"39658","167-18","6 B LAMPRON RD"
"39877","184-14","7 & 7 1/2 GORDON ST"
"39895","175-161","158 & 160 CENTRAL ST"
"39896","175-160","154 & 156 CENTRAL ST"
"39897","175-96","30 ALPINE AVE"
"39957","191-102","55 A-B MELENDY RD"
"39994","183-119","6 A&B SHORT ST"
"40002","184-1","1 SHERATON DR"
"40052","197-186","6 & 8 LINDEN ST"
"40058","197-187","10 & 12 LINDEN ST"
"40059","197-189","9 & 11 LINDEN ST"
"40062","197-188","13 & 14 LINDEN ST"
"40083","199-18","87 A&B PELHAM RD"
"40136","197-185","2 & 4 LINDEN ST"
"40138","197-191","1 & 3 LINDEN ST"
"40139","197-190","5 & 7 LINDEN ST"
"40142","198-153","22 & 24 PELHAM RD"
"40154","150-8","6 SUNSHINE DR"
"40155","150-9","5 A&B SUNSHINE DR"
"40160","149-4","12 A&B SUNSHINE DR"
"40163","149-5","14 A&B SUNSHINE DR"
"40167","149-6","15 A&B SUNSHINE DR"
"40170","149-7","13 A&B SUNSHINE DR"
"40173","149-8","11 A&B SUNSHINE DR"
"40219","200-3","89 PELHAM RD"
"40252","160-94","148 A&B BARRETTS HILL RD"
"40253","160-95","150 A&B BARRETTS HILL RD"
"40254","160-96","46 A&B WINDHAM RD"
"40255","160-97","44 A&B WINDHAM RD"
"40256","160-98","42 A&B WINDHAM RD"
"40257","169-1","40 A&B WINDHAM RD"
"40384","150-11","98 A&B GREELEY ST"
"40399","194-1-1","SPEARE RD"
"40450","179-15","134 A&B KIMBALL HILL RD"
"40487"," ","LIONS AVE OFF"
"40630","214-11","175 A&B BUSH HILL RD"
"40730","207-13","140 A&B BUSH HILL RD"
"40775","200-2-1","152 WASON RD (R)"
"41017","186-25","63 A&B SPEARE RD"
"41136","204-49","8 A&B SHELLEY DR"
"41138","204-50","10 A&B SHELLEY DR"
"41157","204-59","9 A&B SHELLEY DR"
"41209","179-40","115 A&B KIMBALL HILL RD"
"41210","179-41","111 A&B KIMBALL HILL RD"
"41211","179-42","109 A&B KIMBALL HILL RD"
"41212","179-43","107 A&B KIMBALL HILL RD"
"41236","218-8","6 A&B MUSQUASH RD"
"41280","218-2","9 A&B TRIGATE RD"
"41292","217-28","2 A&B MARK ST"
"41303","217-34","5 A&B MARK ST"
"41356","217-17","63 A&B WASON RD"
"41377","179-17","138 A&B KIMBALL HILL RD"
"41431","178-2","2 A&B CATALPA DR"
"41583","149-9","9 A&B SUNSHINE DR"
"41587","150-6","92 A&B GREELEY ST"
"41588","150-5","90 A&B GREELEY ST"
"41590","150-3","86 A&B GREELEY ST"
"41591","150-2","84 A&B GREELEY ST"
"41592","150-1","82 A&B GREELEY ST"
"41696","252-31","42 A&B PINE RD"
"41697","252-32","44 A&B PINE RD"
"41984","259-8","151 DRACUT RD"
"42218","246-62","1 A&B CHALIFOUX RD"
"42223","246-63","45 A&B RIVER RD"
"42224","246-64","43 A&B RIVER RD"
"42226","246-66","39 A&B RIVER RD"
"42293"," ","ADAM DR OFF"
